solver,implementation,nranks,n1,n2,n3,nsys,nrow_min,nrow_max,iter,iterations,mpi_mode,total_s_max,total_s_avg,local_compute_s_max,pack_forward_s_max,mpi_forward_s_max,unpack_forward_s_max,reduced_compute_s_max,pack_backward_s_max,mpi_backward_s_max,unpack_backward_s_max,update_compute_s_max,compute_s_max,communication_s_max,packing_s_max,err_rms,err_linf,cross_err_max
penta,exp,1,128,128,1024,16384,1024,1024,0,10,host,  1.0114539000000001E-02,  1.0114539000000001E-02,  1.0113491000000000E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0113491000000000E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,0,10,host,  3.9219317000000004E-02,  3.9219317000000004E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,1,10,host,  1.0955628000000495E-02,  1.0955628000000495E-02,  1.0954208999999437E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0954208999999437E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,1,10,host,  3.8470347000000515E-02,  3.8470347000000515E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,2,10,host,  1.0850317000000054E-02,  1.0850317000000054E-02,  1.0849066000000462E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0849066000000462E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,2,10,host,  3.8055095999999899E-02,  3.8055095999999899E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,3,10,host,  1.0443710999999745E-02,  1.0443710999999745E-02,  1.0442545000000081E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0442545000000081E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,3,10,host,  4.4253921000000140E-02,  4.4253921000000140E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,exp,1,128,128,1024,16384,1024,1024,4,10,host,  1.0283470000000072E-02,  1.0283470000000072E-02,  1.0282649999999727E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.0282649999999727E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
penta,serial,1,128,128,1024,16384,1024,1024,4,10,host,  3.7404044000000525E-02,  3.7404044000000525E-02,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  0.0000000000000000E+00,  1.3121740235579393E-13,  1.9828583219805296E-13,  0.0000000000000000E+00
